date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-10-26,3980.05,4013.6,3993.58,3973.55,1298954.62,16.63,0.42,3957.516,3941.051,3897.738,931248.47,966859.66,986315.63
2017-10-25,3958.17,3978.09,3976.95,3954.0,882054.56,17.55,0.44,3945.05,3932.988,3889.95,884512.05,931305.12,976916.99
2017-10-24,3926.23,3959.5,3959.4,3922.03,930581.56,28.6,0.73,3938.492,3925.562,3883.225,910040.82,947517.81,983379.04
2017-10-23,3930.89,3936.27,3930.8,3920.66,814849.81,3.95,0.1,3929.226,3918.608,3876.861,888406.96,966992.25,993066.45
2017-10-20,3918.53,3928.96,3926.85,3910.2,729801.81,-4.4,-0.11,3925.756,3913.749,3872.478,968147.08,1021043.11,1011291.16
2017-10-19,3940.58,3944.03,3931.25,3923.65,1065272.5,-12.91,-0.33,3924.586,3904.714,3867.7,1002470.85,1041368.96,1036014.57
2017-10-18,3914.82,3944.41,3944.16,3914.82,1009698.44,31.09,0.8,3920.926,3893.843,3862.636,978098.19,1028385.78,1040430.24
2017-10-17,3910.79,3924.61,3913.07,3900.48,822412.25,-0.38,-0.01,3912.632,3881.547,3857.558,984994.8,1013071.75,1037650.71
2017-10-16,3926.28,3947.42,3913.45,3913.32,1213550.38,-7.55,-0.19,3907.99,3872.318,3853.801,1045577.53,1012699.93,1068625.22
2017-10-13,3912.98,3927.17,3921.0,3908.89,901420.69,8.05,0.21,3901.742,3862.752,3849.411,1073939.15,995293.86,1069889.7
2017-10-12,3902.02,3917.44,3912.95,3897.55,943409.19,10.26,0.26,3884.842,3854.425,3844.661,1080267.06,1005771.59,1077836.91
2017-10-11,3886.82,3913.07,3902.69,3885.5,1044181.5,12.83,0.33,3866.76,3846.912,3840.507,1078673.36,1022528.86,1092608.54
2017-10-10,3883.0,3900.74,3889.86,3855.47,1125325.88,7.65,0.2,3850.462,3840.887,3837.845,1041148.69,1019240.26,1106098.83
2017-10-09,3910.11,3918.84,3882.21,3876.03,1355358.5,45.71,1.19,3836.646,3835.113,3836.204,979822.32,1019140.66,1112314.61
2017-09-29,3825.2,3852.22,3836.5,3825.2,933060.25,13.96,0.36,3823.762,3831.206,3834.375,916648.57,1001539.21,1119329.85
2017-09-28,3821.59,3827.33,3822.54,3813.75,935440.69,1.34,0.04,3824.008,3830.686,3834.077,931276.12,1030660.18,1151999.59
2017-09-27,3818.96,3832.57,3821.2,3818.81,856558.12,0.42,0.01,3827.064,3831.428,3834.054,966384.36,1052474.7,1171700.03
2017-09-26,3810.33,3821.69,3820.78,3808.38,818694.06,2.99,0.08,3831.312,3833.569,3834.709,997331.83,1062229.68,1199548.55
2017-09-25,3829.22,3835.39,3817.79,3811.12,1039489.75,-19.94,-0.52,3833.58,3835.284,3835.397,1058458.99,1124550.51,1222727.39
2017-09-22,3826.46,3842.25,3837.73,3816.82,1006198.0,-0.09,-0.0,3838.65,3836.07,3836.643,1086429.84,1144485.53,1263541.06
2017-09-21,3843.26,3860.8,3837.82,3837.38,1110981.88,-4.62,-0.12,3837.364,3834.896,3834.544,1130044.24,1149902.23,1278201.61
2017-09-20,3830.15,3850.94,3842.44,3827.89,1011295.44,10.32,0.27,3835.792,3834.101,3829.386,1138565.04,1162688.22,1267626.2
2017-09-19,3849.88,3857.3,3832.12,3820.29,1124329.88,-11.02,-0.29,3835.826,3834.802,3825.068,1127127.53,1192957.4,1269542.22
2017-09-18,3832.96,3862.36,3843.14,3832.96,1179344.0,11.84,0.31,3836.988,3837.295,3821.077,1190642.03,1205488.56,1263472.15
2017-09-15,3826.14,3843.3,3831.3,3818.52,1224270.0,1.34,0.04,3833.49,3837.543,3815.97,1202541.23,1237120.49,1254661.49
2017-09-14,3843.57,3854.49,3829.96,3820.09,1153585.88,-12.65,-0.33,3832.428,3837.467,3810.638,1169760.23,1273339.0,1241728.84
2017-09-13,3835.55,3847.78,3842.61,3822.94,954107.88,4.68,0.12,3832.41,3836.68,3805.204,1186811.4,1290925.35,1238377.68
2017-09-12,3832.24,3849.39,3837.93,3822.0,1441902.38,12.28,0.32,3833.778,3835.849,3798.145,1258787.28,1336867.43,1242739.35
2017-09-11,3828.34,3850.74,3825.65,3817.51,1238840.0,-0.34,-0.01,3837.602,3835.51,3791.551,1220335.1,1320904.26,1223866.67
2017-09-08,3830.07,3843.02,3825.99,3813.98,1060365.0,-3.88,-0.1,3841.596,3837.216,3785.003,1271699.75,1382596.59,1219578.89
2017-09-07,3851.69,3858.16,3829.87,3828.84,1238841.75,-19.58,-0.51,3842.506,3834.192,3776.071,1376917.77,1406500.99,1241754.35
2017-09-06,3846.75,3858.25,3849.45,3831.38,1313987.25,-7.6,-0.2,3840.95,3824.67,3770.373,1395039.3,1372564.19,1244854.83
2017-09-05,3845.55,3865.29,3857.05,3841.95,1249641.5,11.43,0.3,3837.92,3815.334,3764.453,1414947.57,1346127.04,1241495.46
2017-09-04,3828.54,3847.09,3845.62,3813.55,1495663.25,15.08,0.39,3833.418,3804.859,3758.211,1421473.42,1321455.74,1247634.35
2017-09-01,3825.34,3843.62,3830.54,3818.16,1586455.12,8.45,0.22,3832.836,3794.396,3752.269,1493493.42,1272202.49,1234966.95
2017-08-31,3835.84,3840.2,3822.09,3800.89,1329449.38,-12.21,-0.32,3825.878,3783.809,3746.121,1436084.2,1210118.69,1234379.22
2017-08-30,3834.27,3854.71,3834.3,3827.86,1413528.62,-0.24,-0.01,3808.39,3773.728,3741.408,1350089.07,1185830.0,1240983.73
2017-08-29,3839.18,3847.93,3834.54,3825.76,1282270.75,-8.17,-0.21,3792.748,3760.44,3737.736,1277306.5,1148611.28,1256453.99
2017-08-28,3805.66,3866.94,3842.71,3805.66,1855763.25,46.96,1.24,3776.3,3747.592,3734.528,1221438.06,1126829.07,1268613.72
2017-08-25,3736.29,3795.97,3795.75,3736.29,1299409.0,61.1,1.64,3755.956,3732.789,3729.286,1050911.56,1056561.19,1250040.08
2017-08-24,3755.89,3765.71,3734.65,3729.09,899473.75,-21.44,-0.57,3741.74,3717.949,3725.593,984153.17,1077007.72,1240775.32
2017-08-23,3747.61,3772.46,3756.09,3741.72,1049615.75,3.79,0.1,3739.066,3716.076,3724.47,1021570.92,1117145.47,1268303.09
2017-08-22,3745.75,3758.29,3752.3,3734.56,1002928.56,11.31,0.3,3728.132,3713.571,3721.935,1019916.06,1136863.88,1283984.9
2017-08-21,3731.84,3744.26,3740.99,3728.62,1003130.75,16.32,0.44,3718.884,3711.562,3720.298,1032220.07,1173812.95,1294674.51
2017-08-18,3707.19,3733.49,3724.67,3700.41,965617.06,3.39,0.09,3709.622,3710.142,3720.422,1062210.82,1197731.4,1311952.33
2017-08-17,3707.07,3722.62,3721.28,3704.41,1086562.5,19.86,0.54,3694.158,3708.433,3720.618,1169862.26,1258639.76,1322642.09
2017-08-16,3701.13,3707.14,3701.42,3679.73,1041341.44,-4.64,-0.12,3693.086,3709.088,3721.948,1212720.01,1296137.46,1339518.99
2017-08-15,3695.78,3719.29,3706.06,3692.28,1064448.62,11.38,0.31,3699.01,3715.031,3723.365,1253811.7,1364296.7,1378690.81
2017-08-14,3651.38,3698.37,3694.68,3651.38,1153084.5,47.33,1.3,3704.24,3721.463,3721.421,1315405.83,1410398.38,1387779.4
2017-08-11,3687.93,3700.49,3647.35,3645.09,1503874.25,-68.57,-1.84,3710.662,3725.782,3719.865,1333251.98,1443518.96,1419535.98
2017-08-10,3724.96,3746.86,3715.92,3688.18,1300851.25,-15.12,-0.41,3722.708,3733.236,3722.652,1347417.25,1404542.93,1397099.26
2017-08-09,3728.03,3739.0,3731.04,3713.57,1246799.88,-1.17,-0.03,3725.09,3732.863,3721.202,1379554.9,1419460.7,1394891.48
2017-08-08,3724.33,3737.33,3732.21,3718.81,1372419.25,5.42,0.14,3731.052,3730.298,3717.591,1474781.7,1431105.93,1393695.38
2017-08-07,3701.22,3730.78,3726.79,3689.96,1242315.25,19.21,0.52,3738.686,3729.033,3714.521,1505390.93,1415536.06,1384454.83
2017-08-04,3724.72,3738.73,3707.58,3707.0,1574700.62,-20.25,-0.54,3740.902,3730.701,3710.866,1553785.95,1426173.26,1382635.02
2017-08-03,3755.11,3766.35,3727.83,3718.44,1461539.5,-33.02,-0.88,3743.764,3732.803,3708.283,1461668.6,1386644.43,1355767.74
2017-08-02,3768.19,3784.35,3760.85,3759.28,1722933.88,-9.53,-0.25,3740.636,3734.808,3704.897,1459366.5,1382900.51,1333880.39
2017-08-01,3738.74,3770.4,3770.38,3737.1,1525465.38,32.51,0.87,3729.544,3731.698,3699.838,1387430.15,1393084.91,1291849.9
2017-07-31,3722.43,3746.52,3737.87,3713.66,1484290.38,15.98,0.43,3719.38,3721.378,3692.318,1325681.2,1365160.43,1263112.34
2017-07-28,3703.49,3725.54,3721.89,3696.78,1114113.88,9.7,0.26,3720.5,3713.947,3687.967,1298560.57,1395552.99,1233308.25
2017-07-27,3700.86,3716.69,3712.19,3672.5,1450029.0,6.8,0.18,3721.842,3712.067,3685.213,1311620.25,1389655.6,1218357.57
2017-07-26,3722.88,3738.53,3705.39,3684.18,1363252.12,-14.17,-0.38,3728.98,3709.54,3683.045,1306434.52,1370322.25,1188650.87
2017-07-25,3742.64,3752.16,3719.56,3713.28,1216720.62,-23.91,-0.64,3733.852,3704.883,3680.084,1398739.68,1356284.83,1169448.69
2017-07-24,3724.38,3755.19,3743.47,3719.85,1348687.25,14.87,0.4,3723.376,3700.008,3677.842,1404639.65,1353373.59,1157392.01
2017-07-21,3738.18,3751.69,3728.6,3722.07,1179412.25,-19.28,-0.51,3707.394,3691.03,3674.073,1492545.4,1339096.78,1157276.65
2017-07-20,3725.14,3750.19,3747.88,3723.07,1424100.38,18.13,0.49,3702.292,3683.763,3668.787,1467690.95,1324891.05,1150870.61
2017-07-19,3660.87,3731.05,3729.75,3658.2,1824777.88,62.57,1.71,3690.1,3674.985,3660.91,1434209.98,1284860.26,1147429.08
2017-07-18,3648.49,3667.54,3667.18,3622.04,1246220.5,3.62,0.1,3675.914,3667.978,3653.82,1313829.98,1190614.89,1100120.1
2017-07-17,3700.62,3716.47,3663.56,3621.37,1788216.0,-39.53,-1.07,3676.64,3663.258,3647.786,1302107.53,1161064.26,1078063.85
2017-07-14,3682.62,3703.09,3703.09,3672.74,1055140.0,16.17,0.44,3674.666,3661.987,3642.291,1185648.15,1071063.52,1028551.63
2017-07-13,3656.35,3690.48,3686.92,3652.57,1256695.5,28.1,0.77,3665.234,3658.358,3633.075,1182091.15,1047059.54,1014020.98
2017-07-12,3672.63,3691.58,3658.82,3640.59,1222877.88,-11.99,-0.33,3659.87,3656.549,3625.168,1135510.54,1006979.49,992502.47
2017-07-11,3646.88,3701.21,3670.81,3645.99,1187608.25,17.12,0.47,3660.042,3655.284,3618.992,1067399.81,982612.56,973263.97
2017-07-10,3647.94,3667.85,3653.69,3641.53,1205919.12,-2.24,-0.06,3649.876,3655.675,3614.565,1020020.99,961410.44,951472.13
2017-07-07,3647.64,3657.11,3655.93,3631.87,1037355.0,-4.17,-0.11,3649.308,3657.115,3610.6,956478.89,975456.52,936366.75
2017-07-06,3654.56,3666.77,3660.1,3629.56,1023792.44,0.42,0.01,3651.482,3653.81,3606.612,912027.94,976850.16,935093.13
2017-07-05,3611.9,3660.73,3659.68,3610.46,882324.25,39.7,1.1,3653.228,3646.834,3601.656,878448.45,1009997.91,929015.97
2017-07-04,3646.83,3646.85,3619.98,3611.69,950714.12,-30.87,-0.85,3650.526,3639.662,3595.366,897825.31,1009625.31,937109.74
2017-07-03,3667.23,3667.6,3650.85,3633.78,888208.62,-15.95,-0.43,3661.474,3632.313,3589.011,902799.89,995063.45,921618.73
2017-06-30,3654.73,3669.76,3666.8,3646.23,815100.25,-2.03,-0.06,3664.922,3622.595,3579.906,994434.16,986039.73,917077.37
2017-06-29,3649.25,3669.13,3668.83,3644.73,855895.0,22.66,0.62,3656.138,3607.791,3570.891,1041672.39,980982.41,917656.36
2017-06-28,3664.16,3672.19,3646.17,3644.03,979208.56,-28.55,-0.78,3640.44,3593.787,3562.337,1141547.36,978025.45,926425.48
2017-06-27,3665.58,3676.53,3674.72,3648.76,975587.0,6.63,0.18,3628.798,3582.7,3554.672,1121425.3,963915.38,929879.92
2017-06-26,3627.02,3671.94,3668.09,3627.02,1346380.0,45.21,1.25,3603.152,3573.455,3544.958,1087327.01,941533.81,932721.14
2017-06-23,3583.44,3623.24,3622.88,3569.32,1051291.38,32.54,0.91,3580.268,3564.085,3535.836,977645.3,897276.98,930762.96
2017-06-22,3583.56,3635.53,3590.34,3581.34,1355269.88,2.38,0.07,3559.444,3559.414,3525.901,920292.44,893336.11,919974.97
2017-06-21,3567.13,3587.99,3587.96,3545.57,878598.25,41.47,1.17,3547.134,3556.478,3517.593,814503.54,848034.03,910666.99
2017-06-20,3560.79,3563.7,3546.49,3539.51,805095.56,-7.18,-0.2,3536.602,3551.069,3508.757,806405.45,864594.17,913006.86
2017-06-19,3520.06,3554.91,3553.67,3520.06,797971.44,34.91,0.99,3543.758,3545.708,3501.625,795740.61,848174.0,908488.84
2017-06-16,3522.97,3536.14,3518.76,3514.39,764527.06,-10.03,-0.28,3547.902,3537.216,3493.847,816908.66,848115.01,911470.07
2017-06-15,3530.75,3542.28,3528.79,3508.95,826325.38,-6.51,-0.18,3559.384,3533.991,3488.408,866379.78,854330.31,923112.13
2017-06-14,3571.25,3571.25,3535.3,3530.27,838107.81,-46.97,-1.31,3565.822,3530.886,3483.401,881564.51,874825.5,934417.07
2017-06-13,3569.16,3584.41,3582.27,3559.21,751771.38,7.88,0.22,3565.536,3526.644,3476.595,922782.89,895844.46,934000.48
2017-06-12,3570.22,3603.69,3574.39,3565.9,903811.69,-1.78,-0.05,3547.658,3516.46,3466.751,900607.39,923908.48,943105.15
2017-06-09,3561.24,3590.89,3576.17,3560.63,1011882.62,15.19,0.43,3526.53,3507.587,3455.864,879321.35,964248.93,952541.01
2017-06-08,3531.24,3562.27,3560.98,3528.18,902249.06,27.11,0.77,3508.598,3492.387,3443.94,842280.85,946613.83,947988.19
2017-06-07,3493.88,3537.09,3533.87,3491.13,1044199.69,40.99,1.17,3495.95,3478.708,3433.518,868086.49,973299.96,941261.57
2017-06-06,3464.38,3492.88,3492.88,3460.45,640893.88,24.13,0.7,3487.752,3466.445,3424.765,868906.04,961419.55,950926.23
